Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P173055,VARDHMAN DIALYSIS CENTRE,NCT OF Delhi,NORTH WEST DELHI,9811057475,"M1, S7",Private(For Profit),PMJAY,No
HOSP7P185973,Max Super Speciality Hospital  A unit of Balaji Medical and Diagnostic Research Centre,NCT OF Delhi,EAST DELHI,9873823879,MC,Private(Not For Profit),State Specific Empanelment,No
HOSP7P202290,DR DAS PATH LAB MANAGED BY SUSHRUTA FOCUS PVT LTD,NCT OF Delhi,SOUTH DELHI,9560040139,-NA-,Private(For Profit),Only CGHS,Yes
HOSP7P209810,DEV IMAGING & PATH LAB,NCT OF Delhi,NORTH WEST DELHI,8700200796,-NA-,Private(For Profit),Only CGHS,No
HOSP7P209851,Delhi MRI Scan A UNIT OF SAHYOG IMAGING COMPANY,NCT OF Delhi,SOUTH DELHI,9873494949,-NA-,Private(Not For Profit),Only CGHS,No
HOSP7P209908,COSMOS IMAGING CENTRE,NCT OF Delhi,CENTRAL DELHI,7006460050,SM,,Only CGHS,Yes
HOSP7P210174,SARVODAYA IMAGING CENTRE,NCT OF Delhi,SOUTH DELHI,8376908350,-NA-,Private(For Profit),Only CGHS,Yes
HOSP7P210780,SAKSHAM IMAGING AND DIAGNOTICS PVT LTD,NCT OF Delhi,SOUTH DELHI,9810751726,-NA-,Private(Not For Profit),Only CGHS,No
HOSP7P210807,SRIVASTAVA MRI AND IMAGING CENTRE,NCT OF Delhi,SOUTH EAST DELHI,9818903574,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211038,Sarvodaya NRCH Imaging Centre,NCT OF Delhi,CENTRAL DELHI,8376908350,-NA-,Private(For Profit),Only CGHS,Yes
HOSP7P211219,DC PATHLAB AND IMAGING CENTRE PVT LTD,NCT OF Delhi,WEST DELHI,9810277626,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211461,City Imaging and Clinical Labs LLP,NCT OF Delhi,SOUTH WEST DELHI,8800999404,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211515,SANJEEVANI DWARKA PATH LABS,NCT OF Delhi,NEW DELHI,9990240267,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211632,NORTH DELHI DIAGNOSTIC & DENTAL CARE CENTRE,NCT OF Delhi,NORTH WEST DELHI,9313773808,OC,,Only CGHS,No
HOSP7P211647,SKY DIAGNOSTIC PVT LTD,NCT OF Delhi,SOUTH WEST DELHI,8287187685,CP,Private(For Profit),Only CGHS,No
HOSP7P211679,STAR IMAGING AND PATH LAB LTD,NCT OF Delhi,WEST DELHI,9990019177,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211742,RADIANCE DIAGNOSTIC CENTRE,NCT OF Delhi,CENTRAL DELHI,9999572788,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211806,City Imaging and Clinical Labs LLP,NCT OF Delhi,SOUTH WEST DELHI,8800999404,-NA-,Private(For Profit),Only CGHS,No
HOSP7P211958,DR BANSAL IMAGING AND PATHLAB PVT LTD,NCT OF Delhi,SHAHDARA,7827255321,-NA-,,Only CGHS,No
HOSP7P211961,FRIENDS X RAY CENTRE DIAGNOSTIC AND IMAGING,NCT OF Delhi,NORTH WEST DELHI,9810533520,-NA-,Private(For Profit),Only CGHS,No
LAB18022021,JDAR PATHOLOGY LABORATORY,NCT OF Delhi,SOUTH WEST DELHI,9654092580,-NA-,,Only CAPF,No
LAB19022021,DR LALCHANDANI LABS LTD,NCT OF Delhi,SOUTH WEST DELHI,9953605505,-NA-,,Only CAPF,No
LAB7670130237,Hamdard Imaging Centre A unit Of Clearmedi Healthcare Pvt Ltd,NCT OF Delhi,SOUTH DELHI,9818840102,-NA-,,Only CGHS,Yes
LAB7670211236,Advanced Genomics Institute & Laboratory Medicine Pvt Ltd,NCT OF Delhi,SOUTH EAST DELHI,9818805777,-NA-,,Only CGHS,No
LAB7671211645,DR BANSAL IMAGING AND PATHLAB PVT LTD,NCT OF Delhi,SHAHDARA,7827255321,-NA-,,Only CGHS,No
LAB7671211793,DR. KAUSHIK PATH LABS,NCT OF Delhi,NORTH EAST DELHI,9899367123,-NA-,,Only CGHS,No
LAB777130939,DR SETHS PATH LAB LLP,NCT OF Delhi,CENTRAL DELHI,9910666871,-NA-,,Only CGHS,Yes
LAB778131038,PLATINUM IMAGING CENTRE,NCT OF Delhi,EAST DELHI,9891603919,-NA-,,Only CGHS,Yes
LAB778211192,Zaina Diagnostic and Imaging Centre,NCT OF Delhi,EAST DELHI,9717678464,-NA-,,Only CGHS,No
LAB779211379,AYUSHMAN DIAGNOSTIC & IMAGING CENTRE,NCT OF Delhi,SOUTH DELHI,9990939566,-NA-,,Only CGHS,Yes
LAB780209561,PUBLIC PATH LAB AND DIAGNOSTIC CENTRE,NCT OF Delhi,NORTH DELHI,9818829796,-NA-,,Only CGHS,No
LAB782131126,DR.D.K.GULATIPATH LAB,NCT OF Delhi,NORTH WEST DELHI,9810223923,-NA-,,Only CGHS,No
LAB783134130,SAWAN NEELU ANGELS DIAGNOSTIC CLINICAL LABORATORY,NCT OF Delhi,SOUTH DELHI,8586999745,-NA-,,Only CGHS,Yes
LAB783209951,ZIAGNOSIS The Diagnostic Lab,NCT OF Delhi,SOUTH DELHI,8882689488,-NA-,,Only CGHS,Yes
LAB783211605,DGChem Labs Pvt.Ltd.,NCT OF Delhi,SOUTH DELHI,9810650600,-NA-,,Only CGHS,No
LAB784211249,sparkle diagnostics and imaging LLP,NCT OF Delhi,SOUTH DELHI,7065292584,-NA-,,Only CGHS,No
LAB784211469,PROTIME LABS,NCT OF Delhi,SOUTH WEST DELHI,8929070707,-NA-,,Only CGHS,No
LAB784211784,DRX LABS,NCT OF Delhi,SOUTH WEST DELHI,8750813065,-NA-,,Only CGHS,No
LAB785211577,EDGE IMAGING & DIAGNOSTICS,NCT OF Delhi,WEST DELHI,9810447029,-NA-,,Only CGHS,No
