Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P171321,BENSUPS HOSPITAL,NCT OF Delhi,SOUTH WEST DELHI,9310051257,"MP, OC, SB, SG, SO, SP, SU",Private(Not For Profit),Only CGHS,Yes
HOSP7P171540,AASTHA AYURVEDA & PANCHKARMA CENTRE,NCT OF Delhi,SHAHDARA,9555339555,CP,Private(For Profit),Only CGHS,Yes
HOSP7P171702,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,NORTH WEST DELHI,9289400338,MG,Private(For Profit),Only CGHS,Yes
HOSP7P171721,Active Ayu Life,NCT OF Delhi,WEST DELHI,9212320357,CP,,Only CGHS,Yes
HOSP7P171787,OREGANO LIFE PRIVATE LIMITED,NCT OF Delhi,EAST DELHI,9971507557,MG,Private(For Profit),Only CGHS,Yes
HOSP7P171854,VRIKSHAKALPA AYURVEDA & PANCHKARMA CENTER. A UNIT OF VRIKSHAKALPA HERBAL LLP,NCT OF Delhi,SOUTH DELHI,8447426748,"CP, OC",Private(For Profit),Only CGHS,Yes
HOSP7P171889,Shri Krishna Super Speciality Institute of Ayurveda,NCT OF Delhi,WEST DELHI,9810584090,OC,,Only CGHS,Yes
HOSP7P171928,Aarogyam Clinic,NCT OF Delhi,NORTH WEST DELHI,9818592027,-NA-,,Only CGHS,Yes
HOSP7P171950,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,NEW DELHI,9289378008,MG,Private(For Profit),Only CGHS,Yes
HOSP7P171960,Sri Ayurveda Clinic ,NCT OF Delhi,NEW DELHI,7678445199,OC,,Only CGHS,No
HOSP7P172775,Paramanand Ayurveda Panchkarma Hospital,NCT OF Delhi,SOUTH WEST DELHI,9899630636,"CP, OC",Private(For Profit),Only CGHS,No
HOSP7P172843,Ayurkawach Ayurvedic Clinic Panchkarma Centre,NCT OF Delhi,WEST DELHI,7827011772,OC,Private(For Profit),Only CGHS,Yes
HOSP7P173055,VARDHMAN DIALYSIS CENTRE,NCT OF Delhi,NORTH WEST DELHI,9811057475,"M1, S7",Private(For Profit),PMJAY,No
HOSP7P173097,Human Care Medical Charitable Trust,NCT OF Delhi,SOUTH WEST DELHI,6391939505,"MC, MG, MN, MO, MP, MR, SB, SG, SL, SO, SP, SS, SU, SV",Private(For Profit),Only CGHS,No
HOSP7P174624,Sandhyashi Neuro Panchkarma a unit sandhya pharma and research unit,NCT OF Delhi,NORTH WEST DELHI,9654864072,CP,Private(For Profit),Only CGHS,Yes
HOSP7P174665,SINGHAL HOSAPITAL,NCT OF Delhi,SOUTH WEST DELHI,9968557422,"M1, M2, S8, M7, S1, S10, S11, S12, S15, S16, S2, S3, S4, S5",Private(Not For Profit),PMJAY,No
HOSP7P174974,Amaltas Ayurveda,NCT OF Delhi,SOUTH WEST DELHI,9555708373,-NA-,,Only CGHS,No
HOSP7P175197,Shri Vats Ayurvedic Chikitsalaya,NCT OF Delhi,SOUTH EAST DELHI,7428430175,OC,Private(For Profit),Only CGHS,Yes
HOSP7P175443,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,SOUTH DELHI,9958311113,OC,Private(For Profit),Only CGHS,Yes
HOSP7P175586,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,NORTH WEST DELHI,9958311113,OC,Private(For Profit),Only CGHS,Yes
HOSP7P175597,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9958311113,OC,Private(For Profit),Only CGHS,Yes
HOSP7P176179,Dr. Rekha Health Wisdom,NCT OF Delhi,SOUTH WEST DELHI,7838696230,-NA-,,Only CGHS,Yes
HOSP7P176972,Human Care Medical Charitable Trust,NCT OF Delhi,SOUTH WEST DELHI,6391939505,"CP, MC, MG, MN, MO, MP, MR, OC, SB, SG, SN, SO, SP, SS, SU, SV",Private(For Profit),State Specific Empanelment,No
HOSP7P182701,KAILASH DEEPAK HOSPITAL,NCT OF Delhi,SHAHDARA,9871244013,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(Not For Profit),Only CGHS,Yes
HOSP7P183713,AcuVision Eye Center,NCT OF Delhi,SOUTH EAST DELHI,9582237409,SE,Private(For Profit),Only CGHS,No
HOSP7P184142,Arogya hospital ,NCT OF Delhi,NORTH WEST DELHI,9818366680,"M1, M7, M2, S1, S2, S4, S5",Private(For Profit),PMJAY,No
HOSP7P185847,Max Super Specility Hospital  a Unit of Devki Devi Foundation,NCT OF Delhi,SOUTH DELHI,9873823879,"CP, MC, MG, MN, MO, MP, MR, OC, SB, SG, SN, SO, SS, SU, SV",Private(Not For Profit),State Specific Empanelment,No
HOSP7P185851,DHARAMSHILA NARAYANA SUPERSPECIALITY HOSPITAL,NCT OF Delhi,EAST DELHI,9811644360,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(For Profit),State Specific Empanelment,No
HOSP7P185973,Max Super Speciality Hospital  A unit of Balaji Medical and Diagnostic Research Centre,NCT OF Delhi,EAST DELHI,9873823879,MC,Private(Not For Profit),State Specific Empanelment,No
HOSP7P185980,Max Super Speciality Hospital Shalimar Bagh  A unit of Max Healthcare Institute Ltd,NCT OF Delhi,NORTH WEST DELHI,9873823879,"CP, MC, MG, MO, MP, MR, OC, SB, SE, SG, SN, SO, SS, SU, SV",Private(For Profit),State Specific Empanelment,No
HOSP7P186369,Dr B L Kapur Memorial Hospital A unit of Lahore Hospital Society,NCT OF Delhi,CENTRAL DELHI,9873823879,OC,Private(Not For Profit),State Specific Empanelment,No
HOSP7P186376,Max Smart Super Speciality Hospital,NCT OF Delhi,SOUTH DELHI,9873823879,MC,Private(Not For Profit),State Specific Empanelment,No
HOSP7P193610,CANCEL CANCER,NCT OF Delhi,NORTH WEST DELHI,7827883027,M5,Private(For Profit),PMJAY,No
